current_time,own_city_id,city,lattitude,longitude,country,fwi,bui,ffmc,dmc,dc,isi,temp,ws,r,prec
2021-06-28 17:16:48.776738,2717824,Delsbo,62.1019,16.4142,SE,[1.6],[17.0],[79.0],[10.2],[127.4],[1.4],[20.0],[1.8],[54],[0.6]
2021-06-28 17:17:27.074661,2717824,Delsbo,62.1019,16.4142,SE,[1.6],[17.0],[79.0],[10.2],[127.4],[1.4],[20.0],[1.8],[54],[0.6]
2021-06-28 17:18:21.759570,2717824,Delsbo,62.1053,16.4124,SE,[1.6],[17.0],[79.0],[10.2],[127.4],[1.4],[20.0],[1.8],[54],[0.6]
2021-06-28 17:20:04.576559,2664315,Västerlo,62.1413,16.4211,SE,[0.9],[17.3],[76.0],[10.4],[130.6],[1.1],[20.2],[1.5],[56],[1.0]
2021-07-01 11:13:13.327475,2681368,Rottne,57.0001,15,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:13:18.125335,2681368,Rottne,57.0001,15,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:13:25.803140,2681368,Rottne,57.0011,15,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:13:37.960687,2681368,Rottne,57.0011,15,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:13:57.475611,2681368,Rottne,57.0011,15,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:14:19.869736,2681368,Rottne,57.0011,15,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:14:32.665756,2681368,Rottne,57.0011,15,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:16:52.579293,2681368,Rottne,57.0011,15,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:17:01.782381,2681368,Rottne,57.0011,15,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:21:39.703755,2664315,Västerlo,llt,lln,SE,[5.2],[20.2],[84.9],[12.2],[146.0],[3.2],[19.6],[2.3],[38],[0.0]
2021-07-01 11:22:33.081286,2664315,Västerlo,62.1413,16.4211,SE,[5.2],[20.2],[84.9],[12.2],[146.0],[3.2],[19.6],[2.3],[38],[0.0]
2021-07-01 11:23:32.225628,2681368,Rottne,57.004448,14.998859,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:23:36.738603,2681368,Rottne,57.004649,14.998858,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-01 11:23:39.899983,2681368,Rottne,57.0048,14.998857,SE,[0.0],[21.0],[10.3],[11.8],[239.1],[0.0],[15.5],[3.5],[98],[11.0]
2021-07-04 13:47:42.521219,2681368,Rottne,57.000469,14.99999,SE,[0.6],[15.8],[66.2],[8.6],[228.5],[0.7],[25.1],[1.7],[52],[5.2]
2021-07-04 13:48:11.738732,2681368,Rottne,57.004432,14.999933,SE,[0.6],[15.8],[66.2],[8.6],[228.5],[0.7],[25.1],[1.7],[52],[5.2]
2021-07-04 13:48:35.870481,2681368,Rottne,57.007853,14.999853,SE,[0.6],[15.8],[66.2],[8.6],[228.5],[0.7],[25.1],[1.7],[52],[5.2]
2021-07-04 13:49:17.675487,2681368,Rottne,57.012519,14.999768,SE,[0.6],[15.8],[66.2],[8.6],[228.5],[0.7],[25.1],[1.7],[52],[5.2]
