current_time,own_city_id,city,lattitude,longitude,country,fwi,bui,ffmc,dmc,dc,isi,temp,ws,r,prec
2021-06-27 17:27:31.939005,2681368,Rottne,57.0001,15,SE,[4.7],[53.9],[77.7],[36.3],[261.1],[1.5],[23.0],[2.6],[49],[1.5]
2021-06-27 17:48:28.175444,2681368,Rottne,57,15,SE,[4.7],[53.9],[77.7],[36.3],[261.1],[1.5],[23.0],[2.6],[49],[1.5]
2021-06-27 17:48:53.133878,2675561,Södra Vi,57.7654,15.9475,SE,[2.1],[32.7],[76.4],[19.5],[250.8],[1.1],[24.3],[1.5],[48],[0.0]
2021-06-27 17:51:17.791121,2675561,Södra Vi,57.7654,15.9475,SE,[2.1],[32.7],[76.4],[19.5],[250.8],[1.1],[24.3],[1.5],[48],[0.0]
2021-06-27 17:52:41.645732,2675561,Södra Vi,57.7654,15.9475,SE,[2.1],[32.7],[76.4],[19.5],[250.8],[1.1],[24.3],[1.5],[48],[0.0]
2021-06-27 17:55:16.953653,2675561,Södra Vi,57.854,15.9775,SE,[2.1],[30.6],[76.9],[18.2],[241.9],[1.1],[24.8],[1.6],[43],[0.0]
2021-06-27 17:55:40.005128,2682569,Rimforsa,58.154,15.7775,SE,[3.2],[36.5],[76.2],[22.1],[264.1],[1.4],[23.9],[2.9],[54],[0.0]
2021-06-27 21:29:35.010893,2683371,Ramshult,58.124,15.3275,SE,[6.9],[63.9],[81.3],[45.9],[263.4],[1.9],[23.2],[2.1],[52],[0.0]
2021-06-27 21:30:49.126144,2684485,Pålsboda,59.024,15.3175,SE,[4.3],[31.8],[80.8],[20.4],[180.7],[2.0],[23.1],[2.6],[58],[0.0]
2021-06-27 21:31:17.927363,2684485,Pålsboda,59.042,15.3675,SE,[4.0],[29.9],[79.4],[18.9],[178.9],[1.9],[22.4],[3.1],[64],[0.0]
2021-06-27 21:31:48.007983,2686657,Örebro,59.212,15.1675,SE,[3.7],[24.1],[79.7],[14.9],[158.1],[2.1],[22.0],[3.5],[65],[0.0]
2021-06-27 21:32:12.678739,2713516,Frövi,59.412,15.3675,SE,[4.0],[25.1],[82.4],[15.8],[151.7],[2.2],[23.2],[2.0],[56],[0.0]
2021-06-27 21:33:26.569361,2699879,Kolsva,59.6112,15.5675,SE,[6.7],[30.8],[85.4],[20.4],[158.0],[3.1],[23.3],[1.9],[53],[0.0]
2021-06-27 21:33:55.071728,2699879,Kolsva,59.6402,15.6625,SE,[7.6],[30.9],[86.5],[20.4],[159.4],[3.6],[23.6],[1.8],[51],[0.0]
2021-06-27 21:34:29.026875,2662517,Vittsjö,61.2202,15.9645,SE,[0.0],[10.0],[23.7],[5.6],[128.9],[0.0],[13.6],[1.5],[96],[9.9]
2021-06-27 21:35:30.493486,2703145,Järvsö,61.6202,16.1115,SE,[0.1],[14.5],[46.6],[8.3],[144.1],[0.1],[13.1],[0.2],[98],[2.9]
2021-06-27 21:36:06.653431,2694503,Ljusdal,61.9125,16.3125,SE,[0.6],[17.4],[68.3],[10.0],[164.7],[0.7],[16.2],[1.2],[79],[1.7]
2021-06-27 21:36:44.748640,2664315,Västerlo,62.3121,16.4133,SE,[1.0],[15.9],[78.3],[9.3],[137.0],[1.2],[19.0],[1.3],[61],[0.7]
2021-06-27 21:39:30.898745,2664315,Västerlo,62.5462,16.7851,SE,[3.4],[16.8],[83.5],[9.7],[151.9],[2.4],[19.1],[1.9],[50],[0.4]
2021-06-27 21:40:04.374182,2722836,Bergeforsen,62.6721,16.9122,SE,[4.2],[18.0],[84.3],[10.5],[152.4],[2.8],[19.5],[2.1],[49],[0.4]
2021-06-27 21:40:46.775641,2664292,Västernorrland County,62.9734,17.2198,SE,[4.3],[16.8],[84.1],[10.5],[104.3],[2.9],[19.4],[2.5],[48],[0.5]
2021-06-27 21:41:42.927298,2675416,Sollefteå,63.1934,17.3192,SE,[9.7],[26.1],[88.2],[16.0],[177.7],[5.3],[21.9],[2.6],[43],[0.3]
2021-06-27 21:42:41.274089,2675416,Sollefteå,63.3419,17.4142,SE,[10.8],[25.6],[88.8],[17.6],[116.9],[6.1],[20.7],[2.9],[42],[0.5]
2021-06-28 17:14:24.588354,2717824,Delsbo,62.1019,16.4142,SE,[1.6],[17.0],[79.0],[10.2],[127.4],[1.4],[20.0],[1.8],[54],[0.6]
2021-07-04 13:57:36.246816,2681368,Rottne,57.000913,14.999996,SE,[0.6],[15.8],[66.2],[8.6],[228.5],[0.7],[25.1],[1.7],[52],[5.2]
2021-07-04 13:57:55.110865,2681368,Rottne,57.002102,14.998131,SE,[0.6],[15.8],[66.2],[8.6],[228.5],[0.7],[25.1],[1.7],[52],[5.2]
2021-07-04 13:58:26.139491,2681368,Rottne,57.001181,14.995064,SE,[0.6],[15.8],[66.2],[8.6],[228.5],[0.7],[25.1],[1.7],[52],[5.2]
